Sample,Original Voltage,Filtered Voltage
270,1.1,0.7107863381291002
271,0.62,1.432032697514618
272,2.78,2.243934355891301
273,3.13,2.689351306513943
274,2.8,2.6347784924413222
275,2.86,2.3181333471924055
276,0.03,2.119882696801772
277,2.8,2.245706855956101
278,2.97,2.578097692798737
279,3.69,2.807678843944523
280,1.6,2.7182291085393304
281,3.06,2.3799836157237677
282,2.56,2.0942037566793927
283,1.09,2.1384209873309605
284,1.68,2.5221093724892576
285,3.77,2.9600469878350886
286,3.82,3.0976954860917156
287,3.91,2.8048957679707422
288,0.32,2.2844030972153804
289,1.71,1.9022628374768313
290,2.13,1.8935070713377877
291,3.22,2.192899539743488
292,1.59,2.511170786268558
293,2.47,2.5690719865206795
294,4.02,2.299101524600113
295,0.07,1.8782259029746375
296,1.32,1.5905554210326935
297,3.28,1.632936766959989
298,0.85,1.9990359143321685
299,2.2,2.507716375318913
300,3.33,2.9391416641662187
301,4.18,3.1718827605681574
302,3.42,3.2159777337381357
303,1.3,3.125158465558764
304,1.78,2.8954525591640015
305,4.84,2.486351360575964
306,3.22,1.9614452379605807
307,0.2,1.5719372558526987
308,0.81,1.6257494839314062
309,1.46,2.216240745727057
310,4.65,3.072546924614311
311,3.05,3.7099386851949103
312,4.59,3.7789610805331817
313,3.77,3.319963058910565
314,2.22,2.7076003787646177
315,0.3,2.340053393616792
316,3.15,2.3449313849729165
317,4.1,2.543148869774146
318,3.21,2.6661493431801353
319,0.04,2.602010396896847
320,4.46,2.4577219983589282
321,0.98,2.422117016000726
322,3.5,2.5803407010639794
323,2.88,2.8355012196637936
324,1.96,2.9846329032163137
325,3.33,2.883303345835581
326,4.34,2.576181824994115
327,0.79,2.2890996476920367
328,1.42,2.2736106144363384
329,3.2,2.615772908994886
330,4.07,3.160028379312124
331,2.88,3.6065169174654312
332,3.95,3.702891348692485
333,2.88,3.3961431160821887
334,3.38,2.8581876121461267
335,2.73,2.380676989725323
336,2.24,2.198461444120566
337,0.41,2.343080693590631
338,3.66,2.629179699533506
339,4.11,2.79921301835166
340,2.43,2.723072934046643
341,1.5,2.4899083389946797
342,1.62,2.319530990501237
343,4.8,2.3776355807999057
344,0.8,2.6477735578580495
345,2.58,2.94972094013321
346,4.14,3.0794908989989294
347,3.62,2.9637721399261405
348,2.05,2.7100361712582837
349,2.0,2.5106566630405815
350,1.79,2.485304389925144
351,3.56,2.6044258007909096
352,4.08,2.7525459141015696
353,0.93,2.846331067812458
354,4.07,2.8791424451591396
355,2.08,2.864891363842301
356,1.8,2.775532283392546
357,3.9,2.5674919177300466
358,3.4,2.2728389480366724
359,1.47,2.031065580121974
360,0.21,1.987542184323972
361,2.24,2.146815822843007
362,2.99,2.350175699382661
363,4.77,2.425487714690449
364,0.2,2.3598321234004436
365,1.8,2.309421329784792
366,2.85,2.4340686760317882
367,3.51,2.724574830379797
368,1.54,2.9893617205513934
369,4.62,3.009702751361204
370,1.58,2.7276446909862018
371,3.88,2.3101493115172222
372,0.81,2.0338759947261242
373,1.41,2.079995670302723
374,2.3,2.408216222920748
375,4.43,2.814538592284681
376,3.5,3.1092604410923492
377,1.39,3.241557224495843
378,4.77,3.2657924427538196
379,0.72,3.2202431587618405
380,4.56,3.073637402085677
381,4.47,2.7948902720585105
382,2.01,2.439839812952168
383,0.16,2.1255362666785595
384,1.38,1.9120680894233388
385,3.67,1.744642482617957
386,2.06,1.54364577008369
387,0.81,1.3418045780544412
388,0.39,1.2969638711539602
389,1.77,1.547408517088605
390,2.36,2.0556391807806667
391,1.93,2.6039259378958577
392,3.83,2.9542990861538443
393,3.91,3.0276904153575024
394,2.05,2.9401296431563595
395,1.17,2.869519053883364
396,4.22,2.8857176849009836
397,3.96,2.9032170065872163
398,1.99,2.7867881864783364
399,1.06,2.4972282159967203
400,4.95,2.144441708994451
401,0.5,1.9084321395528276
402,1.08,1.8965480201749694
403,2.4,2.0563027976616706
404,2.44,2.2259774276262276
405,2.96,2.2879367422297507
406,2.88,2.2811410883361725
407,0.99,2.352053824329143
408,1.54,2.5828317080631593
409,4.25,2.874283035230569
410,2.8,3.017658241594785
411,4.56,2.8947457485943793
412,0.07,2.6053903347767697
413,4.58,2.388375227864835
414,0.35,2.407193880138849
415,2.06,2.607548107395182
416,4.73,2.7845469887079144
417,4.34,2.789971607842058
418,0.02,2.669669531314064
419,2.07,2.5980356063496766
420,4.21,2.6917257589372
421,1.82,2.900913178661939
422,4.99,3.07572637149297
423,0.93,3.120286357624686
424,4.68,3.0757227348948644
425,3.1,3.0607389777370955
426,1.09,3.1363965651161236
427,4.31,3.228341943777812
428,4.25,3.185020549142971
429,1.8,2.920592667879792
430,4.05,2.505255016115878
431,0.06,2.1149100359071658
432,1.9,1.8919167936689236
433,3.29,1.851970926075347
434,1.3,1.9130154498407468
435,2.34,1.9931706814687178
436,1.91,2.068971621872349
437,1.53,2.151069116048692
438,1.88,2.2323132095582556
439,4.25,2.2812378607374764
440,0.7,2.284235187438317
441,2.63,2.2737189779362352
442,3.18,2.2952285573625795
443,0.39,2.3414342749220327
444,3.04,2.3276366812991163
445,3.88,2.148794268094381
446,0.02,1.7773241945971767
447,1.55,1.3183786745387114
448,0.79,0.9760134379137521
449,2.19,0.9518433892761938
450,0.54,1.33201892486595
451,1.33,2.0174645535433213
452,3.02,2.7425057045932646
453,4.02,3.1945916337542912
454,2.69,3.1796826305572687
455,3.51,2.727500584698003
456,0.4,2.065883698896088
457,2.01,1.492412050756658
458,2.61,1.2364065208790684
459,0.03,1.3814369905272954
460,1.76,1.8563131724422879
461,4.1,2.473865907991412
462,0.37,3.0057081538955095
463,4.87,3.2814527284050365
464,4.49,3.273949020682209
465,0.77,3.1125638145633485
466,4.53,2.998405393608508
467,2.15,3.069625719627924
468,3.24,3.3114844083139596
469,4.64,3.571128715874587
470,3.43,3.654346823945449
471,2.73,3.4332607218731916
472,2.03,2.9130687006532923
473,4.74,2.2447028980495163
474,0.76,1.6773375139832558
475,0.38,1.444437793838076
476,2.61,1.6212493591477388
477,1.39,2.051298381541307
478,2.09,2.4241766340295032
479,3.97,2.4759046120749106
480,2.06,2.171282722806677
481,0.76,1.7275021287497263
482,0.85,1.4618435421116278
483,2.85,1.583856538859341
484,2.33,2.0791793288736566
485,1.18,2.7410445532057968
486,4.7,3.300336033139554
487,3.05,3.566320823499263
488,3.78,3.5090120200830537
489,2.77,3.2531904210281013
490,3.48,2.9972421559700324
491,2.14,2.903831961080106
492,4.7,3.016901600956334
493,1.31,3.2425230088093424
494,3.47,3.4050679079989967
495,4.85,3.356570975719369
496,3.2,3.077396736017302
497,0.56,2.6953119693430887
498,3.99,2.4025404758623288
499,2.33,2.330252446307824
500,1.6,2.468509812427965
501,3.81,2.6781680509213155
502,1.35,2.781187374380001
503,3.94,2.6774886993761067
504,2.02,2.421276235345537
505,2.55,2.200823674097321
506,1.57,2.2163536116324747
507,2.93,2.5253085297338114
508,2.26,2.9666262273074984
509,3.62,3.2362902088524392
510,4.24,3.080405230389917
511,0.59,2.478262705035406
512,3.44,1.684156695365511
513,0.21,1.0904573459285263
514,0.89,0.9973634846876441
515,1.08,1.44049649391509
516,2.14,2.1889971781611814
517,4.62,2.9041927379523855
518,2.44,3.3320491136452115
519,3.03,3.3951846425117638
520,2.13,3.160418586577354
521,3.48,2.7649332676988325
522,4.7,2.3714848260073333
523,0.31,2.13225628205018
524,0.85,2.118937204380786
525,2.87,2.2606290353727125
526,3.4,2.3828950743016835
527,2.36,2.3518220519733655
528,2.19,2.194025267976381
529,1.52,2.066041152007891
530,1.51,2.099063426762106
531,2.4,2.2765978573510512
532,3.25,2.4660047241001197
533,3.77,2.561451394977768
534,0.34,2.5831792271275837
535,3.27,2.633978975548905
536,3.17,2.7696446378145905
537,2.19,2.925287634653486
538,2.96,2.9736209545324455
539,4.89,2.8547140830399926
540,1.04,2.6459254266726187
541,1.74,2.499019687855125
542,3.36,2.5006023030173963
543,3.07,2.5854981493248816
544,1.57,2.5820334727149072
545,3.28,2.3535254637709224
546,0.73,1.9286260341311536
547,3.46,1.523280537260254
548,0.14,1.4225835956654234
549,1.81,1.7802038640933924
550,2.4,2.4688389871118157
551,2.29,3.1144559590260332
552,4.95,3.3319053457779346
553,2.28,3.0111207370447657
554,4.1,2.424617918945189
555,0.45,2.0393571777206643
556,0.33,2.158435804840492
557,4.24,2.6828717846071726
558,3.99,3.1966887681729546
559,4.08,3.2977821447445024
560,1.58,2.890154062436021
561,1.03,2.218100712665086
562,3.13,1.6672506196034282
563,1.36,1.521463136130459
564,2.65,1.828914170473466
565,0.86,2.4073489406680855
566,2.63,2.95167403621734
567,4.72,3.1969325248437817
568,3.0,3.06429872251391
569,2.87,2.692043919914905
570,1.01,2.311723768192399
571,2.3,2.064983486800342
572,1.33,1.9287254835449519
573,3.67,1.8185367414209974
574,2.0,1.7528517936458057
575,1.16,1.8862318195485006
576,0.23,2.3567795179877713
577,4.78,3.1016798498381597
578,4.2,3.8422077180463843
579,4.46,4.268015459958308
580,4.16,4.251313695140092
581,3.26,3.9055321034953243
582,3.04,3.4638363652153155
583,4.13,3.1063387604899515
584,2.86,2.8733309880613565
585,1.7,2.6980785600018256
586,3.93,2.498560918455433
587,1.15,2.2511440415815445
588,1.76,2.0066507485559204
589,3.49,1.8501972571582224
590,0.9,1.8319332564743955
591,0.92,1.9143039975543867
592,2.18,1.9857457458573848
593,3.68,1.9503922056705374
594,1.24,1.8253125230657004
595,1.12,1.7441213861757572
596,1.02,1.8436378213429594
597,4.19,2.1310930866462323
598,0.11,2.457663706092299
599,4.58,2.6270090880117856
600,2.55,2.5473747827831184
601,0.33,2.30294428262361
602,4.75,2.0903646969762364
603,0.44,2.073290714997896
604,1.58,2.270266724613841
605,3.02,2.564773466545869
606,4.56,2.823063504834999
607,2.46,3.0031267170518943
608,2.21,3.144147784223067
609,1.86,3.2587014774524747
610,4.96,3.2693642883301557
611,4.32,3.0833195451613533
612,1.63,2.728761766691467
613,1.72,2.392968606565978
614,1.98,2.303885819116614
615,4.52,2.555355439296697
616,1.63,3.019358254768221
617,3.3,3.4084858647142178
618,2.83,3.451212964092759
619,4.75,3.077079625558459
620,3.32,2.4836183187299183
621,0.31,2.0093058901254333
622,0.12,1.8865367478636605
623,3.63,2.0805609570990424
624,4.02,2.3643425821135273
625,1.37,2.5507167740117573
626,3.07,2.6428659545508797
627,2.18,2.7584264611131877
628,1.48,2.928510600969601
629,4.23,3.0014342867920214
630,4.46,2.762814661159187
631,0.77,2.155392585346657
632,1.22,1.3839467961356426
633,0.16,0.8093726463947635
634,1.94,0.7268364354834115
635,1.01,1.1959479645317146
636,1.35,2.017944395196522
637,3.13,2.8467108763796407
638,3.66,3.36150212237996
639,3.48,3.416965934102353
640,2.42,3.0997994522465797
641,3.71,2.6630283893006683
642,1.31,2.3716396176401613
643,3.46,2.345337564949347
644,1.08,2.4940479962671276
645,2.38,2.59542268847689
646,4.84,2.470866941985947
647,1.28,2.131300261203846
648,0.49,1.7709544489216495
649,2.32,1.6113450775558305
650,1.57,1.7329416070392376
651,1.31,2.0377970749309666
652,4.89,2.3535680543180875
653,1.03,2.559072180533129
654,2.01,2.61688180509367
655,2.22,2.521080495455932
656,3.48,2.262336847520227
657,2.11,1.8717858227071122
658,0.04,1.488094573118441
659,2.98,1.3430868126941082
660,0.83,1.6339655340932195
661,1.78,2.3644069912108447
662,3.82,3.2859977309343376
663,3.61,4.013201592526224
664,4.78,4.254979226910543
665,4.97,3.999388700206739
666,3.0,3.5038121436826115
667,1.13,3.0949215399776246
668,3.39,2.946462101450659
669,4.65,3.0142406142013045
670,3.99,3.1434565418901665
671,1.74,3.203346098441412
672,1.17,3.1289704917999868
673,4.31,2.902943849864814
674,4.78,2.569918584762972
675,1.26,2.2734345535386806
676,0.18,2.215373291038153
677,3.54,2.513157674373266
678,4.0,3.0692230293757508
679,3.27,3.582769431878474
680,2.35,3.7149813370156526
681,4.63,3.3041474101237047
682,2.42,2.4978365986741595
683,2.44,1.7089888629793555
684,0.13,1.3933561469466262
685,1.38,1.7685004810300975
686,2.91,2.66585748245702
687,4.73,3.633748374548685
688,3.67,4.222725892837965
689,4.75,4.246224688333065
690,2.53,3.8434902497481964
691,4.63,3.3351403933189996
692,1.77,3.0031827155939066
693,4.04,2.9453910310919027
694,2.36,3.0692011048149226
695,3.55,3.189624833293912
696,3.85,3.147465226278155
697,1.27,2.882291710487071
698,3.0,2.4461928854602037
699,3.18,1.9785784579094277
700,0.24,1.6569003774853364
701,2.35,1.6233790122412215
702,1.94,1.9034096823611302
703,1.51,2.3655169635950895
704,3.45,2.7742105850445187
705,2.46,2.9307573400079896
706,3.71,2.8170990459619807
707,3.23,2.626202421977733
708,0.17,2.628405642830855
709,4.73,2.955498762558954
710,2.99,3.4706292344199485
711,3.25,3.8429274124766244
712,4.72,3.7903502674542597
713,3.03,3.3147762064876116
714,4.12,2.7385922528352067
715,1.19,2.4867907019025077
716,0.83,2.7636710387847137
717,4.94,3.386126013065206
718,4.89,3.9265185944273275
719,4.26,4.051538544197096
720,3.23,3.7670086526558837
721,2.39,3.372831973729443
722,3.02,3.1988778644995675
723,4.97,3.363673410289755
724,2.8,3.732837007344113
725,4.13,4.061148181867989
726,4.5,4.174692665760023
727,3.82,4.062954991099919
728,3.6,3.843127847875115
729,4.68,3.6446842000035877
730,1.93,3.5027319050344494
731,3.88,3.337688095083754
732,3.36,3.039425738652021
733,3.03,2.591188250026614
734,1.78,2.12314695429113
735,1.59,1.8332432883183296
736,1.96,1.8305428798685046
737,0.69,2.0377859425273672
738,3.99,2.2465082650104757
739,2.89,2.2786792756026677
740,1.13,2.1069772837184484
741,1.12,1.8311963574207937
742,1.68,1.5582081913258667
743,1.87,1.3236604108118255
744,1.78,1.1277748340103606
745,0.26,1.0208280136214467
746,0.83,1.1234052124301532
747,2.57,1.544124403214418
748,0.79,2.265278885651183
749,3.93,3.0988301581277256
750,4.17,3.7572228535381615
751,3.11,3.996103476501999
752,4.84,3.7384479635803065
753,2.33,3.110468778170289
754,1.26,2.3811622343184515
755,4.68,1.844500823187489
756,0.12,1.6916553051346455
757,1.17,1.9168844445715705
758,2.66,2.307616854876248
759,3.19,2.553456369152995
760,2.87,2.4355180253672275
761,0.56,1.977503297194851
762,2.51,1.4456340706600694
763,1.24,1.1857931687518253
764,1.21,1.3996025665497587
765,0.3,2.0066945618200003
766,4.29,2.6906701013179006
767,4.19,3.101223368850838
768,2.42,3.0660942475785933
769,0.84,2.663874647647899
770,2.77,2.133335121796219
771,3.99,1.715686260111473
772,0.09,1.5322905822969255
773,0.18,1.540089921102039
774,2.17,1.5762040571424032
775,3.06,1.4852584927947323
776,0.77,1.2622760948099825
777,0.16,1.0949727115407593
778,1.19,1.2473662977914293
779,3.26,1.858476118401657
780,1.46,2.8042717267112627
781,3.73,3.727846648289184
782,4.31,4.232283018756161
783,4.95,4.123279257073058
784,4.49,3.5388139335114337
785,0.36,2.861335583572513
786,3.14,2.464768401123178
787,2.73,2.483146825737893
788,3.87,2.767936666039402
789,0.92,3.043052921258614
790,4.98,3.120692860189533
791,3.02,3.020419139177648
